date,open,high,low,close,volume
2014-09-10,1637.485,1637.485,1626.107,1629.985,2930072200
2014-09-11,1627.959,1648.957,1619.482,1622.815,3645671200
2014-09-12,1619.05,1630.28,1614.535,1630.204,2846877000
2014-09-15,1625.868,1626.053,1614.228,1624.068,3439118800
2014-09-16,1626.389,1629.686,1598.86,1600.916,5045413600
2014-09-17,1607.158,1609.532,1596.536,1604.916,2989564000
2014-09-18,1601.496,1616.48,1596.715,1609.869,3347402000
2014-09-19,1609.856,1623.244,1604.709,1619.581,3038953200
2014-09-22,1613.814,1613.814,1580.973,1583.886,2997896800
2014-09-23,1584.289,1598.649,1584.158,1595.642,2402464000
2014-09-24,1589.345,1628.507,1586.696,1625.731,4533270400
2014-09-25,1633.445,1636.22,1613.528,1618.524,3750253600
2014-09-26,1613.912,1618.322,1605.528,1616.088,2620004000
2014-09-29,1621.088,1627.186,1613.788,1621.816,3920492000
2014-09-30,1623.041,1625.009,1615.073,1619.697,3337974400
2014-10-08,1625.258,1633.618,1614.504,1633.571,3878025200
2014-10-09,1633.541,1639.167,1624.221,1634.042,4035723200
2014-10-10,1626.578,1630.368,1616.673,1621.713,3684314800
2014-10-13,1614.197,1614.197,1593.656,1605.986,3387618800
2014-10-14,1603.347,1614.978,1595.251,1600.299,3300689200
2014-10-15,1599.895,1615.31,1593.393,1612.772,3458331600
2014-10-16,1602.383,1629.092,1599.159,1608.735,4969448800
2014-10-17,1608.983,1616.374,1592.698,1608.516,4325261200
2014-10-20,1613.801,1615.394,1606.124,1612.402,2867398200
2014-10-21,1612.095,1615.288,1599.861,1600.844,3036666200
2014-10-22,1602.451,1612.749,1596.14,1597.125,2928230800
2014-10-23,1595.819,1604.497,1584.616,1586.557,3397576800
2014-10-24,1587.907,1592.32,1580.711,1583.419,2688345200
2014-10-27,1572.886,1572.886,1556.545,1559.906,2473160000
2014-10-28,1562.748,1586.295,1562.748,1585.744,2757734800
2014-10-29,1591.278,1616.055,1586.168,1608.402,4000484800
2014-10-30,1607.482,1623.742,1602.553,1619.096,5007805600
2014-10-31,1623.649,1665.465,1623.322,1657.286,8329494400
2014-11-03,1662.748,1664.432,1646.434,1651.052,5894742400
2014-11-04,1648.112,1650.808,1639.678,1645.624,5838929200
2014-11-05,1645.291,1647.665,1632.716,1637.625,5181332800
2014-11-06,1639.926,1643.186,1625.986,1635.964,4019334400
2014-11-07,1637.139,1667.7,1633.028,1640.323,6729359200
2014-11-10,1671.225,1689.054,1657.137,1689.024,8556244800
2014-11-11,1701.224,1740.917,1693.245,1710.882,13375732800
2014-11-12,1699.202,1731.33,1693.383,1731.021,6601756400
2014-11-13,1734.169,1750.836,1720.73,1726.337,7996893600
2014-11-14,1719.583,1729.718,1706.835,1728.805,6124875600
2014-11-17,1758.991,1758.991,1706.944,1708.096,5815895200
2014-11-18,1709.136,1709.278,1676.445,1679.423,5511740800
2014-11-19,1675.843,1681.974,1667.902,1671.654,4078235200
2014-11-20,1667.138,1683.607,1662.723,1676.598,3744084000
2014-11-21,1676.395,1717.305,1669.184,1714.711,5364956800
2014-11-24,1729.27,1772.891,1722.709,1758.096,10498636800
2014-11-25,1757.676,1780.56,1752.383,1777.673,7308158400
2014-11-26,1786.933,1821.1,1786.564,1820.489,9344412800
2014-11-27,1834.245,1853.419,1825.345,1853.004,10847290400
2014-11-28,1853.548,1915.808,1846.148,1914.44,16235843200
2014-12-01,1936.811,1968.907,1916.626,1920.38,15615121600
2014-12-02,1910.374,2040.469,1909.369,2021.54,15326342400
2014-12-03,2031.132,2107.682,1999.73,2037.585,19169006400
2014-12-04,2043.466,2161.388,2032.41,2160.66,17227108800
2014-12-05,2201.819,2259.512,2115.42,2200.253,22531739200
2014-12-08,2187.504,2317.555,2160.485,2298.849,19908190400
2014-12-09,2283.161,2402.133,2149.596,2182.693,26926672000
2014-12-10,2198.843,2263.992,2111.882,2254.823,19002796800
2014-12-11,2211.544,2269.487,2190.249,2193.542,14604793600
2014-12-12,2186.738,2250.566,2176.317,2193.287,11152881600
2014-12-15,2170.28,2208.658,2139.469,2201.536,10868732800
2014-12-16,2205.882,2299.383,2195.504,2299.278,14817590400
2014-12-17,2326.846,2392.566,2307.184,2383.948,21136280000
2014-12-18,2389.843,2413.676,2343.739,2364.041,15862150400
2014-12-19,2366.451,2408.484,2304.611,2390.28,15843819200
2014-12-22,2393.044,2479.108,2375.907,2426.684,21815571200
2014-12-23,2392.614,2462.072,2360.718,2374.954,13594649600
2014-12-24,2381.409,2388.412,2238.654,2270.883,12359699200
2014-12-25,2295.218,2360.215,2263.424,2359.655,12125972000
2014-12-26,2365.032,2471.045,2357.669,2464.819,15209288000
2014-12-29,2533.987,2557.381,2437.754,2481.663,18458166400
2014-12-30,2481.084,2550.465,2464.429,2523.627,14946400000
2014-12-31,2529.575,2590.091,2507.944,2581.567,15467580800
2015-01-05,2612.85,2678.443,2583.554,2649.639,18242556800
2015-01-06,2616.291,2691.489,2591.828,2629.402,17344000000
2015-01-07,2608.877,2668.839,2598.89,2635.231,12831772000
2015-01-08,2647.817,2656.752,2551.816,2558.107,11836791200
2015-01-09,2554.286,2692.607,2540.342,2569.019,15620950400
2015-01-12,2565.737,2596.268,2499.869,2543.852,11918358400
2015-01-13,2537.975,2567.62,2512.861,2527.828,7707908000
2015-01-14,2539.249,2569.451,2508.657,2534.23,8412231200
2015-01-15,2534.766,2633.397,2516.612,2632.89,11192316800
2015-01-16,2642.744,2685.306,2626.82,2653.034,13495118400
2015-01-19,2448.927,2512.58,2399.435,2410.201,14016356800
2015-01-20,2381.143,2439.251,2355.258,2403.724,13747664000
2015-01-21,2425.261,2553.696,2414.885,2542.318,14880048000
2015-01-22,2546.701,2557.695,2504.066,2544.308,11370877600
2015-01-23,2556.915,2612.931,2543.455,2564.514,12455135200
2015-01-26,2563.91,2565.362,2528.076,2562.363,9597947200
2015-01-27,2570.432,2574.331,2473.808,2522.103,11654288000
2015-01-28,2497.05,2534.583,2476.277,2486.285,8635638400
2015-01-29,2444.395,2465.312,2419.988,2442.038,8140496800
2015-01-30,2456.054,2471.228,2400.628,2405.38,7659115200
2015-02-02,2337.196,2376.426,2329.151,2332.533,8467689600
2015-02-03,2362.413,2413.006,2335.107,2405.76,8227465600
2015-02-04,2412.754,2439.605,2370.569,2372.455,7753136000
2015-02-05,2456.384,2456.569,2348.448,2348.921,11071324800
2015-02-06,2335.362,2366.331,2303.112,2325.241,7693111200
2015-02-09,2319.241,2392.822,2311.799,2366.766,7390338400
2015-02-10,2363.159,2409.024,2355.136,2403.548,6886203200
2015-02-11,2408.079,2423.348,2395.195,2415.128,5053898400
2015-02-12,2415.139,2425.635,2384.493,2416.449,6066236000
2015-02-13,2426.953,2464.076,2415.425,2427.474,8379348000
2015-02-16,2427.168,2437.843,2413.604,2431.21,6260811600
2015-02-17,2437.689,2464.524,2437.689,2445.26,6001057200
2015-02-25,2448.199,2448.199,2395.527,2407.457,6398738400
2015-02-26,2401.138,2482.443,2382.687,2478.061,9470706400
2015-02-27,2476.486,2498.697,2466.827,2474.595,8565192000
2015-03-02,2495.571,2498.716,2459.421,2479.237,8805252000
2015-03-03,2462.003,2462.003,2395.83,2396.805,9127474400
2015-03-04,2403.862,2416.219,2378.927,2397.993,6429528400
2015-03-05,2379.732,2382.892,2344.947,2366.899,7777329600
2015-03-06,2370.885,2393.739,2366.019,2371.623,6480420400
2015-03-09,2352.223,2443.204,2321.265,2429.867,10619571200
2015-03-10,2413.837,2424.151,2390.604,2395.428,7843558400
2015-03-11,2401.261,2444.655,2399.54,2408.503,7007419200
2015-03-12,2444.415,2505.633,2423.431,2485.114,12477820000
2015-03-13,2494.345,2532.154,2477.396,2495.277,10420594400
2015-03-16,2512.353,2551.445,2485.291,2550.861,10413208000
2015-03-17,2576.413,2586.431,2556.469,2583.198,13209204800
2015-03-18,2595.739,2649.816,2592.264,2649.642,14795881600
2015-03-19,2649.002,2649.002,2613.765,2630.243,13359587200
2015-03-20,2642.798,2710.128,2617.065,2680.679,15375499200
2015-03-23,2700.157,2724.644,2690.48,2720.671,14209193600
2015-03-24,2719.506,2720.03,2649.621,2683.647,15361758400
2015-03-25,2674.352,2691.238,2626.659,2649.161,13227040000
2015-03-26,2637.527,2714.63,2621.451,2687.762,13344292800
2015-03-27,2693.189,2715.007,2664.864,2689.24,11986937600
2015-03-30,2716.431,2793.414,2704.798,2784.456,18138366400
2015-03-31,2826.634,2860.24,2744.927,2754.658,17583371200
2015-04-01,2758.962,2810.649,2751.372,2799.451,12528132000
2015-04-02,2821.214,2824.822,2746.302,2781.641,12218473600
2015-04-03,2771.03,2817.624,2764.347,2817.181,11296924800
2015-04-07,2854.407,2889.859,2838.885,2889.452,16013944000
2015-04-08,2907.584,2960.653,2879.974,2952.079,17985384000
2015-04-09,2973.811,3021.85,2914.695,2931.772,17676448000
2015-04-10,2925.926,2992.408,2911.463,2986.605,14121595200
2015-04-13,3040.007,3059.775,3016.965,3041.125,16933958400
2015-04-14,3057.407,3074.671,3013.312,3052.407,16230036800
2015-04-15,3054.017,3119.484,3039.255,3053.304,17902593600
2015-04-16,3045.851,3183.583,3033.248,3183.302,17196755200
2015-04-17,3251.977,3271.567,3216.206,3235.332,20765993600
2015-04-20,3267.851,3296.18,3146.84,3164.461,26597612800
2015-04-21,3163.288,3214.893,3135.218,3214.364,18442769600
2015-04-22,3219.696,3300.836,3204.437,3299.221,20173806400
2015-04-23,3311.071,3313.81,3245.762,3273.398,17713793600
2015-04-24,3226.384,3250.23,3161.972,3223.958,18513593600
2015-04-27,3257.97,3313.251,3257.97,3308.454,20026697600
2015-04-28,3309.529,3370.025,3255.769,3282.33,26604286400
2015-04-29,3268.518,3304.707,3243.539,3283.282,14666628800
2015-04-30,3290.581,3309.419,3249.246,3250.49,14628827200
2015-05-04,3250.125,3273.149,3204.306,3272.005,13327095200
2015-05-05,3266.809,3270.962,3132.936,3148.813,17060777600
2015-05-06,3175.886,3244.596,3110.111,3139.02,14799113600
2015-05-07,3116.788,3142.137,3093.732,3094.883,10944092800
2015-05-08,3126.002,3138.661,3045.01,3110.455,10327816800
2015-05-11,3112.241,3169.867,3075.201,3169.134,13376665600
2015-05-12,3162.671,3200.184,3136.458,3188.313,13081305600
2015-05-13,3188.061,3188.961,3122.337,3141.296,11730550400
2015-05-14,3136.128,3153.748,3107.681,3128.572,10533870400
2015-05-15,3122.894,3124.605,3044.854,3060.411,10999319200
2015-05-18,3032.708,3045.586,2997.129,2998.389,8704172800
2015-05-19,2996.841,3127.001,2996.716,3116.086,11120662400
2015-05-20,3127.566,3181.54,3105.626,3122.85,12455732800
2015-05-21,3132.335,3156.488,3110.999,3150.901,9475578400
2015-05-22,3180.39,3249.516,3170.453,3248.855,15002110400
2015-05-25,3263.96,3350.518,3263.96,3349.945,15858571200
2015-05-26,3382.76,3390.287,3320.154,3386.593,14789468800
2015-05-27,3390.981,3404.756,3327.241,3344.738,14747054400
2015-05-28,3336.7,3350.218,3120.973,3124.621,17825520000
2015-05-29,3127.636,3161.58,3036.957,3111.334,13378440000
2015-06-01,3114.793,3250.605,3082.163,3244.319,14102337600
