Date,Close
20210224,6536.19
20210225,6499.15
20210226,6364.35
20210301,6488.44
20210302,6433.33
20210303,6524.75
20210304,6401.99
20210305,6403.50
20210308,6256.41
20210309,6108.00
20210310,6062.26
20210311,6213.83
20210312,6222.38
20210315,6173.87
20210316,6195.24
20210317,6225.36
20210318,6273.86
20210319,6206.60
20210322,6305.69
20210323,6219.17
20210324,6142.54
20210325,6157.41
20210326,6251.79
20210329,6254.94
20210330,6280.36
20210331,6254.07
20210401,6311.66
20210402,6326.61
20210406,6343.10
20210407,6348.08
20210408,6356.75
20210409,6335.24
20210412,6226.42
20210413,6209.78
20210414,6277.21
20210415,6276.46
20210416,6339.59
20210419,6425.26
20210420,6428.54
20210421,6420.26
20210422,6445.47
20210423,6462.76
20210426,6442.65
20210427,6446.28
20210428,6489.74
20210429,6491.93
20210430,6485.71
20210506,6489.35
20210507,6444.44
20210510,6475.99
20210511,6456.04
20210512,6512.05
20210513,6439.03
20210514,6525.80
20210517,6578.14
20210518,6599.60
20210519,6584.39
20210520,6548.71
20210521,6527.86
20210524,6544.12
20210525,6619.67
20210526,6628.21
20210527,6685.41
20210528,6668.17
20210531,6728.99
20210601,6739.76
20210602,6681.43
20210603,6667.73
20210604,6693.06
20210607,6721.50
20210608,6684.56
20210609,6692.90
20210610,6765.64
20210611,6725.92
20210615,6663.66
20210616,6566.29
20210617,6616.17
20210618,6657.76
20210621,6707.18
20210622,6739.79
20210623,6789.95
20210624,6754.87
20210625,6813.41
20210628,6828.52
20210629,6765.42
20210630,6808.18
20210701,6716.67
20210702,6658.05
20210705,6711.01
20210706,6709.50
20210707,6764.13
20210708,6748.65
20210709,6804.54
20210712,6904.38
20210713,6961.85
20210714,6898.75
20210715,6932.41
20210716,6925.12
20210719,6889.34
20210720,6901.13
20210721,6984.54
20210722,7026.55
20210723,6985.75
20210726,6868.21
20210727,6719.26
20210728,6621.98
20210729,6758.89
20210730,6767.32
20210802,6872.00
20210803,6816.01
20210804,6931.34
20210805,6911.83
20210806,6938.87
20210809,6979.53
20210810,7019.23
20210811,7073.52
20210812,7095.20
20210813,7088.89
20210816,7052.49
20210817,6894.40
20210818,6941.01
20210819,6947.06
20210820,6920.02
20210823,7024.56
20210824,7090.78
20210825,7153.00
20210826,7118.84
20210827,7180.11
20210830,7226.88
20210831,7255.34
20210901,7193.10
20210902,7307.01
20210903,7278.68
20210906,7355.40
20210907,7498.93
20210908,7544.04
20210909,7617.45
20210910,7607.67
20210913,7648.75
20210914,7556.62
20210915,7592.31
20210916,7446.94
20210917,7395.56
20210922,7453.62
20210923,7502.84
20210924,7380.38
20210927,7170.59
20210928,7198.90
20210929,7010.22
20210930,7103.61
20211008,7091.34
20211011,7090.47
20211012,6952.19
20211013,6981.59
20211014,7008.33
20211015,7024.16
20211018,7068.10
20211019,7120.38
20211020,7118.80
20211021,7098.25
20211022,7026.07
20211025,7103.99
20211026,7102.43
20211027,7048.60
20211028,6950.28
20211029,7022.50
20211101,7060.76
20211102,6985.10
20211103,7017.85
20211104,7073.85
20211105,6991.91
20211108,7026.97
20211109,7081.75
20211110,7062.33
20211111,7119.86
20211112,7156.61
20211115,7098.21
20211116,7045.94
20211117,7104.53
20211118,7084.68
20211119,7169.88
20211122,7255.07
20211123,7261.38
20211124,7256.11
20211125,7233.54
20211126,7219.86
20211129,7221.90
20211130,7252.76
20211201,7272.84
20211202,7229.99
20211203,7301.92
20211206,7240.46
20211207,7206.83
20211208,7302.99
20211209,7320.32
20211210,7306.65
20211213,7353.03
20211214,7324.13
20211215,7314.26
20211216,7381.00
20211217,7314.56
20211220,7195.97
20211221,7275.47
20211222,7302.46
20211223,7337.19
20211224,7278.76
20211227,7272.75
20211228,7286.03
20211229,7247.77
20211230,7310.96
20211231,7359.40
20220104,7354.46
20220105,7222.67
20220106,7229.96
20220107,7175.68
20220110,7191.45
20220111,7135.22
20220112,7196.93
20220113,7097.76
20220114,7081.14
20220117,7157.86
20220118,7163.16
20220119,7118.76
20220120,7056.79
20220121,6976.62
20220124,6979.25
20220125,6743.96
20220126,6782.58
20220127,6605.92
20220128,6580.53
20220207,6676.61
20220208,6742.19
20220209,6843.03
20220210,6840.49
20220211,6745.02
20220214,6695.70
20220215,6760.28
20220216,6772.03
20220217,6768.79
20220218,6835.02
20220221,6867.11
20220222,6784.76
20220223,6887.42
20220224,6764.88
20220225,6819.43
20220228,6853.31
20220301,6874.04
20220302,6875.24
20220303,6859.55
20220304,6803.83
20220307,6659.39
20220308,6429.89
20220309,6305.61
20220310,6414.94
20220311,6474.13
20220314,6323.58
20220315,5964.98
20220316,6156.27
20220317,6267.52
20220318,6332.22
20220321,6358.94
20220322,6358.11
20220323,6398.10
20220324,6344.12
20220325,6268.24
20220328,6283.28
20220329,6253.07
20220330,6377.87
20220331,6324.96
20220401,6364.52
20220406,6356.93
20220407,6221.59
20220408,6224.12
20220411,6029.89
20220412,6126.91
20220413,6044.33
20220414,6126.49
20220415,6070.75
20220418,6074.01
20220419,6092.40
20220420,5956.92
20220421,5759.80
20220422,5740.98
20220425,5369.72
20220426,5234.01
20220427,5437.04
20220428,5418.76
20220429,5627.90
20220505,5686.70
20220506,5563.77
20220509,5608.52
20220510,5690.09
20220511,5737.82
20220512,5743.10
20220513,5796.80
20220516,5791.08
20220517,5816.34
20220518,5797.49
20220519,5838.41
20220520,5929.49
20220523,5965.73
20220524,5745.68
20220525,5844.25
20220526,5911.56
20220527,5899.92
20220530,5942.83
20220531,6026.24
20220601,6023.64
20220602,6078.43
20220606,6187.44
20220607,6186.57
20220608,6217.83
20220609,6130.69
20220610,6240.10
20220613,6233.62
20220614,6275.57
20220615,6261.06
20220616,6264.82
20220617,6316.31
20220620,6330.39
20220621,6277.00
20220622,6179.57
20220623,6300.47
20220624,6368.28
20220627,6407.74
20220628,6501.35
20220629,6374.30
20220630,6454.08
20220701,6438.54
20220704,6523.13
20220705,6511.53
20220706,6418.55
20220707,6452.99
20220708,6404.44
20220711,6319.14
20220712,6241.48
20220713,6268.49
20220714,6302.43
20220715,6196.80
20220718,6312.36
20220719,6335.71
20220720,6410.71
20220721,6347.60
20220722,6289.53
20220725,6231.24
20220726,6307.96
20220727,6332.23
20220728,6348.17
20220729,6294.11
20220801,6347.22
20220802,6170.00
20220803,6124.31
20220804,6158.73
20220805,6270.51
20220808,6323.07
20220809,6341.48
20220810,6322.06
20220811,6439.36
20220812,6420.85
20220815,6442.81
20220816,6465.19
20220817,6493.50
20220818,6468.81
20220819,6391.72
20220822,6472.68
20220823,6466.40
20220824,6284.58
20220825,6322.70
20220826,6298.37
20220829,6310.40
20220830,6285.93
20220831,6155.75
20220901,6126.77
20220902,6149.43
20220905,6182.65
20220906,6291.57
20220907,6301.56
20220908,6272.58
20220909,6316.97
20220913,6300.42
20220914,6249.96
20220915,6107.80
20220916,5954.50
20220919,5913.15
20220920,5958.29
20220921,5978.58
20220922,5965.89
20220923,5889.60
20220926,5806.32
20220927,5920.05
20220928,5769.52
20220929,5771.88
20220930,5714.06
20221010,5635.71
20221011,5684.51
20221012,5820.45
20221013,5830.34
20221014,5973.44
20221017,6015.60
20221018,6035.67
20221019,5972.72
20221020,5948.86
20221021,5956.88
20221024,5896.90
20221025,5869.78
20221026,5971.60
20221027,5963.00
20221028,5781.80
20221031,5807.11
20221101,5941.15
20221102,5997.80
20221103,5996.72
20221104,6133.46
20221107,6141.41
20221108,6134.26
20221109,6120.83
20221110,6089.70
20221111,6138.62
20221114,6129.51
20221115,6236.38
20221116,6203.92
20221117,6217.21
20221118,6191.65
20221121,6189.71
20221122,6125.40
20221123,6115.60
20221124,6120.07
20221125,6087.86
20221128,6055.28
20221129,6163.82
20221130,6156.15
20221201,6186.10
20221202,6168.01
20221205,6215.12
20221206,6211.25
20221207,6204.01
20221208,6186.28
20221209,6192.30
20221212,6154.81
20221213,6121.66
20221214,6096.39
20221215,6101.88
20221216,6072.86
20221219,5936.48
20221220,5878.03
20221221,5845.84
20221222,5779.06
20221223,5763.35
20221226,5843.26
20221227,5885.66
20221228,5862.10
20221229,5857.40
20221230,5864.47
20230103,5955.90
20230104,5952.45
20230105,6010.46
20230106,6012.82
20230109,6040.02
20230110,6048.30
20230111,6014.16
20230112,6015.29
20230113,6057.69
20230116,6126.18
20230117,6132.64
20230118,6151.46
20230119,6204.33
20230120,6251.43
20230130,6283.33
20230131,6289.15
20230201,6365.91
20230202,6370.14
20230203,6343.69
20230206,6302.33
20230207,6317.24
20230208,6268.28
20230209,6354.56
20230210,6334.25
20230213,6383.83
20230214,6397.21
20230215,6384.35
20230216,6289.48
20230217,6237.41
20230220,6346.07
20230221,6383.42
20230222,6375.07
20230223,6360.32
20230224,6340.84
20230227,6307.21
20230228,6357.54
20230301,6402.14
20230302,6382.23
20230303,6390.32
20230306,6395.22
20230307,6284.30
20230308,6301.52
20230309,6285.95
20230310,6204.90
20230313,6245.00
20230314,6189.40
20230315,6224.64
20230316,6140.83
20230317,6183.18
20230320,6160.35
20230321,6234.68
20230322,6269.74
20230323,6305.76
20230324,6310.10
20230327,6311.60
20230328,6279.92
20230329,6260.55
20230330,6286.18
20230331,6339.82
20230403,6413.81
20230404,6408.90
20230406,6416.85
20230407,6464.47
20230410,6410.52
20230411,6420.88
20230412,6443.44
20230413,6404.65
20230414,6431.07
20230417,6459.24
20230418,6449.85
20230419,6416.97
20230420,6411.76
20230421,6250.54
20230424,6208.78
20230425,6118.15
20230426,6142.15
20230427,6157.94
20230428,6241.24
20230504,6262.39
20230505,6200.58
20230508,6248.58
20230509,6181.98
20230510,6173.81
20230511,6154.47
20230512,6091.65
20230515,6159.39
20230516,6110.83
20230517,6122.05
20230518,6128.18
20230519,6117.08
20230522,6115.32
20230523,6052.43
20230524,6005.79
20230525,5988.19
20230526,6034.98
20230529,6025.16
20230530,6061.31
20230531,6047.80
20230601,6051.46
20230602,6105.22
20230605,6097.11
20230606,5983.42
20230607,5987.01
20230608,5966.15
20230609,6009.58
20230612,6027.71
20230613,6044.04
20230614,6044.08
20230615,6096.81
20230616,6148.01
20230619,6131.38
20230620,6126.11
20230621,5990.85
20230626,5887.03
20230627,5948.00
20230628,5942.31
20230629,5940.58
20230630,5998.73
20230703,6042.31
20230704,6055.26
20230705,6020.82
20230706,5988.55
20230707,5961.61
20230710,5984.28
20230711,6029.23
20230712,5962.79
20230713,6044.06
20230714,6030.52
20230717,6012.69
20230718,6001.80
20230719,5993.41
20230720,5925.48
20230721,5925.63
20230724,5916.71
20230725,6016.63
20230726,6001.54
20230727,5961.18
20230728,6043.24
20230731,6088.24
20230801,6098.88
20230802,6077.46
20230803,6098.69
20230804,6128.56
20230807,6090.73
20230808,6066.10
20230809,6021.75
20230810,6031.71
20230811,5913.35
20230814,5916.80
20230815,5879.78
20230816,5833.22
20230817,5874.36
20230818,5777.80
20230821,5710.78
20230822,5741.06
20230823,5629.50
20230824,5652.67
20230825,5581.21
20230828,5644.14
20230829,5770.32
20230830,5775.15
20230831,5739.40
20230901,5750.80
20230904,5829.78
20230905,5788.71
20230906,5790.38
